event_id,event_time,user_id,dept,role,device_type,source_ip,asset_id,asset_type,data_classification,action,status,bytes_out,records_accessed,latency_ms,risk_score,label,failed_login_count,alert_level
EVT0000047,2026-06-14T22:00:40,U0020,HR,intern,vpn_gateway,10.10.13.249,crm,saas,confidential,query,success,91461,1945,164,26,normal,0,MEDIUM
EVT0000048,2026-06-14T22:00:50,U0102,Finance,director,workstation,10.10.9.151,cust_db,database,restricted,logout,success,114203,8157,140,28,normal,0,MEDIUM
EVT0000049,2026-06-14T22:01:00,U0121,Sales,admin,server,10.10.20.58,cust_db,database,restricted,query,success,121769,1352,110,29,normal,0,MEDIUM
EVT0000050,2026-06-14T22:01:10,U0105,HR,director,vpn_gateway,10.10.16.31,payroll,database,confidential,login,success,120193,6677,111,6,normal,0,MEDIUM
EVT0000051,2026-06-14T22:01:20,U0117,Engineering,intern,mobile,10.10.14.152,bi_dashboard,dashboard,internal,query,success,74795,1385,47,1,normal,0,LOW
EVT0000052,2026-06-14T22:01:30,U0126,Sales,intern,mobile,10.10.7.115,public_web,web,public,upload,success,65778,1399,165,1,normal,0,LOW
EVT0000053,2026-06-14T22:01:40,U0095,Operations,analyst,vpn_gateway,10.10.15.25,bi_dashboard,dashboard,internal,login,success,58740,19580,197,0,normal,0,LOW
EVT0000054,2026-06-14T22:01:50,U0086,Legal,manager,mobile,10.10.18.55,data_lake,storage,restricted,permission_change,success,87802,2041,100,27,normal,0,MEDIUM
EVT0000055,2026-06-14T22:02:00,U0023,Operations,engineer,laptop,45.77.21.13,cust_db,database,restricted,schema_discovery,failed,13379,290,132,88,compromised_account,0,MEDIUM
EVT0000056,2026-06-14T22:02:10,U0023,Operations,engineer,vpn_gateway,45.77.21.13,cust_db,database,restricted,query,success,68756,904,135,86,compromised_account,0,MEDIUM
EVT0000057,2026-06-14T22:02:20,U0023,Operations,engineer,server,45.77.21.13,cust_db,database,restricted,login,success,17972,326,134,86,compromised_account,0,MEDIUM
EVT0000058,2026-06-14T22:02:30,U0023,Operations,engineer,server,45.77.21.13,cust_db,database,restricted,schema_discovery,success,86724,1126,139,93,compromised_account,0,CRITICAL
EVT0000059,2026-06-14T22:02:40,U0023,Operations,engineer,server,45.77.21.13,cust_db,database,restricted,schema_discovery,success,38183,1272,142,91,compromised_account,0,CRITICAL
EVT0000060,2026-06-14T22:02:50,U0023,Operations,engineer,laptop,45.77.21.13,cust_db,database,restricted,login,failed,72163,6560,94,86,compromised_account,0,MEDIUM
EVT0000061,2026-06-14T22:03:00,U0023,Operations,engineer,server,45.77.21.13,cust_db,database,restricted,schema_discovery,failed,53207,1156,131,91,compromised_account,0,CRITICAL
EVT0000062,2026-06-14T22:03:10,U0023,Operations,engineer,vpn_gateway,45.77.21.13,cust_db,database,restricted,login,success,24184,503,151,86,compromised_account,0,MEDIUM
EVT0000063,2026-06-14T22:03:20,U0023,Operations,engineer,laptop,45.77.21.13,cust_db,database,restricted,schema_discovery,success,13441,560,52,89,compromised_account,0,MEDIUM
EVT0000064,2026-06-14T22:03:30,U0023,Operations,engineer,vpn_gateway,45.77.21.13,cust_db,database,restricted,schema_discovery,failed,14018,500,135,91,compromised_account,0,CRITICAL
EVT0000065,2026-06-14T22:03:40,U0023,Operations,engineer,vpn_gateway,45.77.21.13,cust_db,database,restricted,login,failed,30392,4341,154,86,compromised_account,0,MEDIUM
EVT0000066,2026-06-14T22:03:50,U0023,Operations,engineer,laptop,45.77.21.13,cust_db,database,restricted,login,success,55242,1493,122,92,compromised_account,0,CRITICAL
EVT0000067,2026-06-14T22:04:00,U0023,Operations,engineer,workstation,45.77.21.13,cust_db,database,restricted,login,success,27987,666,144,86,compromised_account,0,MEDIUM
EVT0000068,2026-06-14T22:04:10,U0023,Operations,engineer,server,45.77.21.13,cust_db,database,restricted,schema_discovery,failed,56421,593,146,85,compromised_account,0,MEDIUM
EVT0000069,2026-06-14T22:04:20,U0023,Operations,engineer,laptop,45.77.21.13,cust_db,database,restricted,schema_discovery,success,64747,1245,132,85,compromised_account,0,MEDIUM
EVT0000070,2026-06-14T22:04:30,U0023,Operations,engineer,vpn_gateway,45.77.21.13,cust_db,database,restricted,login,success,41891,805,81,93,compromised_account,0,CRITICAL
EVT0000071,2026-06-14T22:04:40,U0023,Operations,engineer,workstation,45.77.21.13,cust_db,database,restricted,login,failed,79547,1767,98,87,compromised_account,0,MEDIUM
EVT0000072,2026-06-14T22:04:50,U0023,Operations,engineer,vpn_gateway,45.77.21.13,cust_db,database,restricted,schema_discovery,success,74764,762,158,92,compromised_account,0,CRITICAL
EVT0000073,2026-06-14T22:05:00,U0023,Operations,engineer,workstation,45.77.21.13,cust_db,database,restricted,query,failed,46002,707,107,86,compromised_account,0,MEDIUM
EVT0000074,2026-06-14T22:05:10,U0023,Operations,engineer,server,45.77.21.13,cust_db,database,restricted,login,success,90610,1208,139,93,compromised_account,0,CRITICAL
EVT0000075,2026-06-14T22:05:20,U0011,Legal,engineer,laptop,10.10.20.123,ticketing,saas,internal,upload,success,50926,878,111,1,normal,0,LOW
EVT0000076,2026-06-14T22:05:30,U0088,Operations,analyst,vpn_gateway,10.10.15.114,payroll,database,confidential,read,success,97641,4649,140,30,normal,0,MEDIUM
EVT0000077,2026-06-14T22:05:40,U0096,HR,admin,workstation,10.10.2.204,git_repo,code,internal,read,success,91539,10171,75,5,normal,0,LOW
EVT0000078,2026-06-14T22:05:50,U0025,Sales,director,laptop,10.10.20.225,public_web,web,public,logout,success,67990,906,76,2,normal,0,LOW
EVT0000079,2026-06-14T22:06:00,U0090,Operations,manager,workstation,10.10.20.183,git_repo,code,internal,delete,failed,64135,890,91,31,normal,0,LOW
EVT0000080,2026-06-14T22:06:10,U0080,Finance,manager,server,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,76,95,privilege_abuse,0,CRITICAL
EVT0000081,2026-06-14T22:06:20,U0080,Finance,manager,mobile,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,111,91,privilege_abuse,0,CRITICAL
EVT0000082,2026-06-14T22:06:30,U0080,Finance,manager,vpn_gateway,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,107,96,privilege_abuse,0,CRITICAL
EVT0000083,2026-06-14T22:06:40,U0080,Finance,manager,server,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,80,93,privilege_abuse,0,CRITICAL
EVT0000084,2026-06-14T22:06:50,U0080,Finance,manager,server,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,98,95,privilege_abuse,0,CRITICAL
EVT0000085,2026-06-14T22:07:00,U0080,Finance,manager,mobile,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,148,92,privilege_abuse,0,CRITICAL
EVT0000086,2026-06-14T22:07:10,U0080,Finance,manager,laptop,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,92,91,privilege_abuse,0,CRITICAL
EVT0000087,2026-06-14T22:07:20,U0080,Finance,manager,server,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,115,90,privilege_abuse,0,CRITICAL
EVT0000088,2026-06-14T22:07:30,U0080,Finance,manager,workstation,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,141,95,privilege_abuse,0,CRITICAL
EVT0000089,2026-06-14T22:07:40,U0080,Finance,manager,server,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,103,90,privilege_abuse,0,CRITICAL
EVT0000090,2026-06-14T22:07:50,U0080,Finance,manager,workstation,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,87,94,privilege_abuse,0,CRITICAL
EVT0000091,2026-06-14T22:08:00,U0080,Finance,manager,server,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,87,98,privilege_abuse,0,CRITICAL
EVT0000092,2026-06-14T22:08:10,U0080,Finance,manager,mobile,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,121,91,privilege_abuse,0,CRITICAL
EVT0000093,2026-06-14T22:08:20,U0080,Finance,manager,server,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,114,96,privilege_abuse,0,CRITICAL
EVT0000094,2026-06-14T22:08:30,U0080,Finance,manager,laptop,103.12.44.9,git_repo,code,internal,permission_change,success,0,0,128,95,privilege_abuse,0,CRITICAL
EVT0000095,2026-06-14T22:08:40,U0035,Data Science,admin,mobile,10.10.15.253,cust_db,database,restricted,read,success,42112,2339,156,46,normal,0,MEDIUM
EVT0000096,2026-06-14T22:08:50,U0118,Data Science,director,vpn_gateway,10.10.2.82,cust_db,database,restricted,logout,failed,112097,2197,125,33,normal,0,MEDIUM
EVT0000097,2026-06-14T22:09:00,U0122,Operations,admin,workstation,10.10.2.223,git_repo,code,internal,login,success,55229,3451,100,5,normal,0,LOW
EVT0000098,2026-06-14T22:09:10,U0112,HR,engineer,workstation,10.10.6.129,public_web,web,public,query,success,118994,1776,101,4,normal,0,LOW
EVT0000099,2026-06-14T22:09:20,U0022,Operations,analyst,laptop,10.10.18.77,public_web,web,public,login,success,5654,134,86,4,normal,0,LOW
EVT0000100,2026-06-14T22:09:30,U0079,Legal,engineer,workstation,10.10.12.116,ticketing,saas,internal,query,success,11596,146,140,6,normal,0,LOW
